labeled_ratio,trial,seed,method,round_idx,epoch_in_round,global_epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_acc_improvement
0.1,4,45,manual,1,3,3,1.297746,0.540444,1.536395,0.4318,0.406226,-0.0342
0.1,4,45,manual,1,4,4,1.158002,0.581556,1.379685,0.5202,0.508327,0.0884
0.1,4,45,manual,2,1,5,0.949127,0.6624,1.29566,0.5476,0.546951,0.0274
0.1,4,45,manual,2,2,6,0.804623,0.7198,1.322971,0.5418,0.538113,-0.0058
0.1,4,45,manual,2,3,7,0.710797,0.7524,1.310744,0.5546,0.550902,0.0128
0.1,4,45,manual,2,4,8,0.610757,0.787,1.388471,0.5508,0.5412,-0.0038
0.1,4,45,manual,3,1,9,0.581213,0.796727,1.326788,0.5582,0.557632,0.0074
0.1,4,45,manual,3,2,10,0.454053,0.842364,1.510214,0.5436,0.534695,-0.0146
0.1,4,45,manual,3,3,11,0.356836,0.878909,1.518197,0.5512,0.551341,0.0076
0.1,4,45,manual,3,4,12,0.274229,0.910727,1.70755,0.5574,0.554206,0.0062
0.1,4,45,pso,1,1,1,1.894107,0.308222,1.606074,0.4112,0.382376,0.0
0.1,4,45,pso,1,2,2,1.488134,0.464222,1.448189,0.4796,0.474647,0.0684
0.1,4,45,pso,1,3,3,1.283214,0.543333,1.439042,0.4754,0.472484,-0.0042
0.1,4,45,pso,1,4,4,1.08943,0.607333,1.300161,0.5332,0.521396,0.0578
0.1,4,45,pso,2,1,5,0.881871,0.68766,1.320787,0.5392,0.534857,0.006
0.1,4,45,pso,2,2,6,0.677236,0.76234,1.416462,0.5456,0.532403,0.0064
0.1,4,45,pso,2,3,7,0.537307,0.815106,1.44435,0.5468,0.552436,0.0012
0.1,4,45,pso,2,4,8,0.375715,0.874681,1.655025,0.5318,0.522933,-0.015
0.1,4,45,pso,3,1,9,0.403586,0.863061,1.564458,0.55,0.545749,0.0182
0.1,4,45,pso,3,2,10,0.23507,0.929184,1.823739,0.5328,0.541807,-0.0172
0.1,4,45,pso,3,3,11,0.167033,0.953265,1.872674,0.546,0.543746,0.0132
0.1,4,45,pso,3,4,12,0.11245,0.966122,2.270129,0.531,0.537786,-0.015
0.1,5,46,manual,1,1,1,1.898277,0.312889,1.667173,0.3886,0.396433,0.0
0.1,5,46,manual,1,2,2,1.449074,0.481778,1.539887,0.4386,0.429856,0.05
0.1,5,46,manual,1,3,3,1.281262,0.548889,1.392921,0.5028,0.501231,0.0642
0.1,5,46,manual,1,4,4,1.101049,0.614444,1.362485,0.5216,0.517875,0.0188
0.1,5,46,manual,2,1,5,0.910452,0.6788,1.336854,0.5332,0.525457,0.0116
0.1,5,46,manual,2,2,6,0.762864,0.7372,1.38394,0.5368,0.530907,0.0036
0.1,5,46,manual,2,3,7,0.664953,0.772,1.432377,0.5448,0.535784,0.008
0.1,5,46,manual,2,4,8,0.53468,0.8176,1.421961,0.5586,0.55105,0.0138
0.1,5,46,manual,3,1,9,0.4125,0.863091,1.486592,0.5502,0.545434,-0.0084
0.1,5,46,manual,3,2,10,0.292323,0.908727,1.70876,0.5314,0.532434,-0.0188
0.1,5,46,manual,3,3,11,0.218798,0.936727,1.832896,0.541,0.544199,0.0096
0.1,5,46,manual,3,4,12,0.150238,0.958,1.95029,0.556,0.550666,0.015
0.1,5,46,pso,1,1,1,1.933693,0.286222,1.628769,0.4132,0.404677,0.0
0.1,5,46,pso,1,2,2,1.515293,0.457778,1.439701,0.4744,0.464093,0.0612
0.1,5,46,pso,1,3,3,1.292269,0.541778,1.434858,0.4768,0.459996,0.0024
0.1,5,46,pso,1,4,4,1.137122,0.592889,1.389397,0.5044,0.48959,0.0276
0.1,5,46,pso,2,1,5,0.892575,0.686973,1.328291,0.5352,0.527156,0.0308
0.1,5,46,pso,2,2,6,0.734646,0.743487,1.389383,0.5268,0.518859,-0.0084
0.1,5,46,pso,2,3,7,0.604327,0.791954,1.47219,0.541,0.538742,0.0142
0.1,5,46,pso,2,4,8,0.482332,0.829119,1.626846,0.5188,0.513628,-0.0222
0.1,5,46,pso,3,1,9,0.464908,0.83771,1.501864,0.5346,0.528361,0.0158
0.1,5,46,pso,3,2,10,0.323591,0.893771,1.6398,0.5314,0.530654,-0.0032
0.1,5,46,pso,3,3,11,0.221037,0.929293,1.911112,0.5356,0.525122,0.0042
